,# of Dialysis Stations,Offers in-center hemodialysis,Offers in-center peritoneal dialysis,Offers home hemodialysis training,Percentage of Medicare patients with Hgb<10 g/dL,Percentage of Medicare patients with Hgb>12 g/dL,Number of Dialysis Patients with Hgb data,Percent of Adult HD patients with Kt/V >= 1.2,Percentage of Adult PD PTS with Kt/V >= 1.7,Percentage of Pediatric HD patients with Kt/V >= 1.2,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Percentage of pediatric PD patients with Kt/V>=1.8,Fistula Rate (Facility),Percentage of Adult patients with long term catheter in use,Percentage of pediatric HD patients with nPCR,Readmission Rate (Facility),Mortality Rate (Facility),risk_zone
6739,21,1,0,0,17.60762331838565,0.22266298723697828,55.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6740,15,1,0,0,17.60762331838565,0.22266298723697828,4.0,96.0,90.74918566775244,95.21428571428571,0.0,16.0,18.0,29.0,24.0,14.0,71.35483870967742,62.0,3.0,95.875,16.3,21.716423297785052,1
6741,13,1,0,0,17.60762331838565,0.22266298723697828,10.0,93.0,90.74918566775244,95.21428571428571,0.0,12.0,24.0,23.0,21.0,20.0,71.35483870967742,67.0,19.0,95.875,9.2,16.6,1
6742,19,1,1,1,22.0,0.0,63.0,96.0,94.0,95.21428571428571,1.0,11.0,29.0,33.0,16.0,11.0,71.35483870967742,70.0,7.0,95.875,30.2,22.6,2
6743,9,1,0,0,8.0,0.0,13.0,95.0,90.74918566775244,95.21428571428571,0.0,7.0,24.0,25.0,23.0,21.0,71.35483870967742,53.0,29.0,95.875,31.4,24.7,2
6744,16,1,1,0,37.0,0.0,59.0,96.0,51.0,95.21428571428571,1.0,5.0,30.0,35.0,16.0,13.0,71.35483870967742,58.0,7.0,95.875,27.4,19.1,1
6745,18,1,0,0,22.0,0.0,46.0,97.0,90.74918566775244,95.21428571428571,4.0,5.0,19.0,29.0,23.0,23.0,71.35483870967742,76.0,9.0,95.875,32.0,17.0,2
6746,16,1,0,0,53.0,0.0,15.0,97.0,90.74918566775244,95.21428571428571,0.0,1.0,30.0,44.0,16.0,9.0,71.35483870967742,57.0,14.0,95.875,26.3,21.716423297785052,1
6747,4,0,1,1,20.0,0.0,15.0,95.98320456835741,98.0,95.21428571428571,2.0,13.0,28.0,31.0,20.0,8.0,71.35483870967742,49.0,20.0,95.875,32.2,25.6,2
6748,12,1,0,0,50.0,0.0,14.0,98.0,90.74918566775244,95.21428571428571,2.0,5.0,20.0,15.0,33.0,26.0,71.35483870967742,84.0,6.0,95.875,32.0,28.2,2
6749,13,1,0,0,17.60762331838565,0.22266298723697828,38.805739203826136,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6750,12,1,0,0,3.0,0.0,29.0,98.0,90.74918566775244,95.21428571428571,2.0,7.0,20.0,26.0,34.0,13.0,71.35483870967742,67.0,7.0,95.875,24.4,31.7,1
6751,20,1,0,0,17.60762331838565,0.22266298723697828,38.805739203826136,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
